rank,feature,composite_score,spearman_norm,mi_norm,rf_mdi_norm,perm_norm,gb_norm,coverage_pct
1,pace_delta_ms,0.7359,0.6833,0.0,1.0,1.0,1.0,97.8
2,ct_street,0.2079,0.0292,1.0,0.0032,0.0074,0.006,100.0
3,grid_position_pct,0.1517,1.0,0.0,0.0026,0.0017,0.0045,100.0
4,round,0.099,0.1667,0.0,0.0817,0.1804,0.0565,100.0
5,year,0.0792,0.1875,0.0,0.0654,0.1118,0.0453,100.0
6,ct_mixed,0.0272,0.1458,0.0,0.0049,0.0114,0.0085,100.0
7,avg_fast_corner_kmh,0.0251,0.0792,0.0,0.0194,0.0557,0.0097,78.1
8,full_throttle_pct,0.0223,0.0833,0.0,0.0187,0.0385,0.012,78.1
9,avg_slow_corner_kmh,0.0214,0.0667,0.0,0.0175,0.0436,0.0144,78.1
10,min_speed_kmh,0.0213,0.0708,0.0,0.0154,0.0424,0.015,78.1
11,top_speed_kmh,0.0205,0.0292,0.0,0.0236,0.0459,0.03,78.1
12,ct_desert,0.0188,0.1167,0.0,0.0015,0.0021,0.0029,100.0
13,avg_medium_corner_kmh,0.018,0.0625,0.0,0.0149,0.0296,0.0171,78.1
14,avg_speed_kmh,0.0144,0.0208,0.0,0.0171,0.0376,0.0106,78.1
15,ct_high_speed,0.0127,0.0625,0.0,0.0041,0.0065,0.0041,100.0
16,grid_position,0.0125,0.0,0.0627,0.0,0.0,0.0,100.0
