rank,feature,composite_score,spearman_norm,mi_norm,rf_mdi_norm,perm_norm,gb_norm,coverage_pct
1,lap_time_delta_pct,0.974,1.0,1.0,1.0,1.0,1.0,97.4
2,best_lap_delta_pct,0.211,0.8551,0.2598,0.0597,0.0578,0.0469,97.4
3,total_valid_laps,0.1147,0.3348,0.0,0.0634,0.057,0.2492,97.4
4,pace_delta_ms,0.1014,0.3851,0.1983,0.007,0.0033,0.0097,99.9
5,total_sector_delta_ms,0.0809,0.8841,0.9325,0.5205,0.279,0.6271,13.2
6,s2_delta_ms,0.0425,0.8177,0.8086,0.0703,0.0083,0.1209,13.2
7,s1_delta_ms,0.0403,0.8464,0.7106,0.1161,0.0151,0.0237,13.2
8,s3_delta_ms,0.0319,0.8259,0.5363,0.0119,0.0076,0.0372,13.2
9,min_lap_ms,0.0283,0.1139,0.0206,0.0089,0.0044,0.0305,97.4
10,std_lap_ms,0.0252,0.0781,0.0562,0.0055,0.0038,0.0048,96.9
11,avg_lap_ms,0.0247,0.1154,0.0,0.0116,0.0063,0.0237,97.4
12,max_tyre_life,0.0225,0.0,0.1154,0.0,0.0,0.0,97.4
13,lap_consistency,0.0203,0.1027,0.0,0.0091,0.007,0.0097,96.9
14,hard_pct,0.0151,0.0,0.0773,0.0,0.0,0.0,97.4
15,personal_bests,0.0149,0.0,0.0765,0.0,0.0,0.0,97.4
16,ct_high_speed,0.0119,0.0007,0.0587,0.0,0.0,0.0,100.0
17,s2_best_ms,0.0115,0.2713,0.2073,0.0062,0.0038,0.0177,13.2
18,avg_tyre_life,0.0095,0.0,0.0487,0.0,0.0,0.0,97.4
19,ct_desert,0.0078,0.0005,0.0389,0.0,0.0,0.0,100.0
20,s1_best_ms,0.0069,0.3013,0.0,0.0115,0.007,0.0176,13.2
21,s3_best_ms,0.0056,0.2079,0.0,0.0152,0.0123,0.0309,13.2
22,total_best_ms,0.0054,0.24,0.0,0.0077,0.0041,0.0128,13.2
23,ct_street,0.0035,0.0032,0.0149,0.0,0.0,0.0,100.0
24,grid_position,0.003,0.0,0.015,0.0,0.0,0.0,100.0
25,soft_pct,0.0027,0.0,0.0141,0.0,0.0,0.0,97.4
26,grid_position_pct,0.0019,0.0127,0.0,0.0,0.0,0.0,100.0
27,year,0.0005,0.0017,0.0,0.0004,0.0002,0.0006,100.0
28,round,0.0005,0.002,0.0,0.0005,0.0002,0.0,100.0
29,avg_medium_corner_kmh,0.0003,0.0017,0.0,0.0001,0.0001,0.0,83.8
30,avg_fast_corner_kmh,0.0003,0.002,0.0,0.0001,0.0001,0.0,83.8
31,top_speed_kmh,0.0003,0.0021,0.0,0.0001,0.0,0.0002,83.8
32,ct_mixed,0.0002,0.0015,0.0,0.0,0.0,0.0,100.0
33,avg_speed_kmh,0.0001,0.0007,0.0,0.0001,0.0,0.0,83.8
34,avg_slow_corner_kmh,0.0001,0.0005,0.0,0.0,0.0,0.0,83.8
35,medium_pct,0.0001,0.0,0.0006,0.0,0.0,0.0,97.4
36,min_speed_kmh,0.0001,0.0011,0.0,0.0,0.0,0.0,83.8
37,full_throttle_pct,0.0,0.0004,0.0,0.0,0.0,0.0,83.8
38,pb_rate,0.0,0.0,0.0,0.0,0.0,0.0,97.4
